title,release_year,category,duration,country,type,rating,Year,Content spend ($bn),Revenue ($bn),Gross Profit ($bn),Net Income ($bn),Paid Subscribers (mm)
Wave of Cinema: 90's Generation,2020,"Documentaries, International Movies, Music & Musicals",51 min,Not Given,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Quiet,2020,"Dramas, International Movies, Music & Musicals",103 min,Not Given,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Generasi 90an: Melankolia,2020,"Dramas, International Movies",94 min,Indonesia,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
The Block Island Sound,2020,"Horror Movies, Independent Movies",99 min,United States,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Fate of Alakada,2020,"Comedies, International Movies",113 min,Nigeria,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Mariposa,2020,"Comedies, International Movies, Romantic Movies",116 min,Indonesia,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Indoo Ki Jawani,2020,"Action & Adventure, Comedies, International Movies",115 min,India,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
"Blue, Painful, Fragile",2020,"International Movies, Thrillers",119 min,Japan,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Made You Look: A True Story About Fake Art,2020,"Documentaries, International Movies",90 min,Canada,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Classmates Minus,2020,"Comedies, Dramas, Independent Movies",123 min,Taiwan,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Love,2020,"Dramas, Independent Movies, International Movies",91 min,India,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Wave of Cinema: Surat dari Timur,2020,"Documentaries, International Movies, Music & Musicals",58 min,Not Given,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Monsoon,2020,"Dramas, Independent Movies, LGBTQ Movies",85 min,United Kingdom,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Layla Majnun,2020,"Dramas, International Movies, Romantic Movies",119 min,Indonesia,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Monster Run,2020,"Action & Adventure, International Movies",104 min,China,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Little Big Women,2020,"Dramas, International Movies",123 min,Taiwan,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
The Last Paradiso,2020,"Dramas, International Movies, Romantic Movies",107 min,Italy,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
All My Friends Are Dead,2020,"Comedies, Dramas, International Movies",97 min,Poland,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Black Beach,2020,"Action & Adventure, International Movies",116 min,Spain,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
"Our Lady of San Juan, Four Centuries of Miracles",2020,"Dramas, Faith & Spirituality, International Movies",123 min,Mexico,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
The House Arrest of Us,2020,"International TV Shows, Romantic TV Shows, TV Comedies",1 Season,Philippines,TV Show,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Fatima,2020,"Dramas, Faith & Spirituality",113 min,Portugal,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Kilometers and Kilometers,2020,"Comedies, Dramas, Independent Movies",127 min,India,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
So My Grandma’s a Lesbian!,2020,"Comedies, International Movies, LGBTQ Movies",95 min,Portugal,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Friendsgiving,2020,Comedies,95 min,United States,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
The Shadow of Violence,2020,Dramas,101 min,United Kingdom,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Cut Throat City,2020,Dramas,123 min,United States,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Sightless,2020,Thrillers,89 min,United States,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Death of Me,2020,Horror Movies,94 min,United States,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Double Dad,2020,"Children & Family Movies, Comedies, Dramas",105 min,Brazil,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
The Vanished,2020,Thrillers,115 min,United States,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
The Heartbreak Club,2020,"Comedies, Dramas, International Movies",101 min,Indonesia,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Last Tango in Halifax,2020,"British TV Shows, Romantic TV Shows, TV Dramas",4 Seasons,United Kingdom,TV Show,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
100% Halal,2020,"Dramas, International Movies",101 min,Indonesia,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Pieces of a Woman,2020,Dramas,128 min,Canada,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Tony Parker: The Final Shot,2020,"Documentaries, International Movies, Sports Movies",99 min,France,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Asphalt Burning,2020,"Action & Adventure, Comedies, International Movies",101 min,Norway,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Full Out 2: You Got This!,2020,"Children & Family Movies, Dramas, Sports Movies",91 min,United States,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Tarung Sarung,2020,"Action & Adventure, Dramas, Faith & Spirituality",116 min,Indonesia,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
SanPa: Sins of the Savior,2020,"Crime TV Shows, Docuseries, International TV Shows",1 Season,Italy,TV Show,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
The Rope Curse 2,2020,"Horror Movies, International Movies",105 min,Taiwan,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Cops and Robbers,2020,Dramas,8 min,United States,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Death to 2020,2020,Comedies,71 min,United States,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
DNA,2020,"Dramas, International Movies",91 min,France,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
The Magic School Bus Rides Again In the Zone,2020,Children & Family Movies,46 min,Canada,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
AK vs AK,2020,"Comedies, Dramas, International Movies",109 min,India,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
We Can Be Heroes,2020,"Children & Family Movies, Comedies",101 min,United States,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
The Midnight Sky,2020,Dramas,119 min,United States,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Your Name Engraved Herein,2020,"Dramas, International Movies, LGBTQ Movies",115 min,Taiwan,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
After We Collided,2020,"Dramas, Romantic Movies",105 min,United States,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
London Hughes: To Catch a D*ck,2020,Stand-Up Comedy,68 min,United States,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
QLIMAX THE SOURCE,2020,Music & Musicals,57 min,Netherlands,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Shaun the Sheep: The Farmer’s Llamas,2020,"Children & Family Movies, Comedies",28 min,United Kingdom,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
"Ariana grande: excuse me, i love you",2020,"Documentaries, Music & Musicals",98 min,United States,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Rhys Nicholson Live at the Athenaeum,2020,Stand-Up Comedy,66 min,United Kingdom,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Guest House,2020,Comedies,84 min,United States,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Ma Rainey's Black Bottom,2020,"Dramas, Music & Musicals",94 min,United States,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Paava Kadhaigal,2020,"International TV Shows, TV Dramas",1 Season,India,TV Show,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
An Unremarkable Christmas,2020,"Comedies, Dramas, International Movies",83 min,Colombia,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
BREAK IT ALL: The History of Rock in Latin America,2020,"Docuseries, Spanish-Language TV Shows",1 Season,Not Given,TV Show,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Schulz Saves America,2020,"Stand-Up Comedy & Talk Shows, TV Comedies",1 Season,United States,TV Show,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Anitta: Made In Honório,2020,"Docuseries, International TV Shows",1 Season,Brazil,TV Show,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
The Ripper,2020,"British TV Shows, Crime TV Shows, Docuseries",1 Season,United Kingdom,TV Show,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Vir Das: Outside In - The Lockdown Special,2020,Stand-Up Comedy,50 min,India,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
A Trash Truck Christmas,2020,Children & Family Movies,28 min,Not Given,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
A California Christmas,2020,"Comedies, Romantic Movies",107 min,United States,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Canvas,2020,"Children & Family Movies, Dramas",9 min,United States,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Giving Voice,2020,Documentaries,91 min,United States,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
The Prom,2020,"Comedies, LGBTQ Movies, Music & Musicals",132 min,United States,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Torbaaz,2020,"Dramas, International Movies, Sports Movies",133 min,India,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Song Exploder,2020,Docuseries,2 Seasons,United States,TV Show,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
